ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
AnMacrophyt,0.32352941,0,0.78484317,0.48351648,0.55580684,1.27462341,0.75862069,0.29118032,0.32352941
BeDepF,0.64705882,0,0.89696363,1.20879121,0.82796616,1.14716107,0.89408867,0.64615901,0.64705882
BentF,1.61764706,4.38562092,1.25574908,3.26373626,1.05156919,0.61181924,1.21921182,1.04229328,1.61764706
BeSuspF,1.29411765,2.55228758,1.17726476,3.14285714,1.14315454,0.89223638,1.13793103,1.2317544,1.29411765
Bird,0.64705882,0.10784314,0.89696363,-0.84615385,0.88020098,1.01969873,0.89408867,0.7302607,0.64705882
MacroZP,1.29411765,0.61111111,1.04645757,0.24175824,1.25208925,0.95596756,1.08374384,1.47769502,1.29411765
MesoZP,1.29411765,0.32352941,0.99138085,1.45054945,1.2484846,0.95596756,1.05665025,1.46919896,1.29411765
PerMacrophyt,0.32352941,0,0.78484317,0.48351648,0.55580684,1.27462341,0.75862069,0.29118032,0.32352941
Phyto,0.97058824,0.10784314,0.94181181,2.05494505,1.11287615,1.01969873,0.97536946,1.16736833,0.97058824
PisF,1.29411765,2.08496732,1.17726476,0.72527473,1.16106888,0.95596756,1.13793103,1.27066248,1.29411765
PlaF,1.29411765,0.82679739,1.04645757,-1.20879121,1.21097658,0.89223638,1.08374384,1.3822472,1.29411765
